gene	Level1	Level2	Level3	Level4
KCNJ8	Connective tissue cell	Pericytes	Pericytes	Pericytes
CD248	Connective tissue cell	Pericytes	Pericytes	Pericytes
TEK	Connective tissue cell	Pericytes	Pericytes	Pericytes
NOTCH3	Connective tissue cell	Pericytes	Pericytes	Pericytes
GLI1	Connective tissue cell	Pericytes	Pericytes	Pericytes
ICAM1	Connective tissue cell	Pericytes	Pericytes	Pericytes
ADM	Connective tissue cell	Pericytes	Pericytes	Pericytes
ANGPT1	Connective tissue cell	Pericytes	Pericytes	Pericytes
VEGFA	Connective tissue cell	Pericytes	Pericytes	Pericytes
ZIC1	Connective tissue cell	Pericytes	Pericytes	Pericytes
FOXC1	Connective tissue cell	Pericytes	Pericytes	Pericytes
POSTN	Connective tissue cell	Pericytes	Pericytes	Pericytes
COX4I2	Connective tissue cell	Pericytes	Pericytes	Pericytes
HIGD1B	Connective tissue cell	Pericytes	Pericytes	Pericytes
PDZD2	Connective tissue cell	Pericytes	Pericytes	Pericytes
HSD11B1	Connective tissue cell	Pericytes	Pericytes	Pericytes
MCAM	Connective tissue cell	Pericytes	Pericytes	Pericytes
MXRA8	Connective tissue cell	Pericytes	Pericytes	Pericytes
PDE5A	Connective tissue cell	Pericytes	Pericytes	Pericytes
NR1H3	Connective tissue cell	Pericytes	Pericytes	Pericytes
EMID1	Connective tissue cell	Pericytes	Pericytes	Pericytes
ECM1	Connective tissue cell	Pericytes	Pericytes	Pericytes
COLEC11	Connective tissue cell	Pericytes	Pericytes	Pericytes
RARRES2	Connective tissue cell	Pericytes	Pericytes	Pericytes
REM1	Connective tissue cell	Pericytes	Pericytes	Pericytes
ASPN	Connective tissue cell	Pericytes	Pericytes	Pericytes
CYGB	Connective tissue cell	Pericytes	Pericytes	Pericytes
FABP4	Connective tissue cell	Pericytes	Pericytes	Pericytes
VTN	Connective tissue cell	Pericytes	Pericytes	Pericytes
STEAP4	Connective tissue cell	Pericytes	Pericytes	Pericytes
NDUFA4L2	Connective tissue cell	Pericytes	Pericytes	Pericytes
SLC38A11	Connective tissue cell	Pericytes	Pericytes	Pericytes
ATP13A5	Connective tissue cell	Pericytes	Pericytes	Pericytes
AOC3	Connective tissue cell	Pericytes	Pericytes	Pericytes
ANGPT2	Connective tissue cell	Pericytes	Pericytes	Pericytes
INPP4B	Connective tissue cell	Pericytes	Pericytes	Pericytes
GPIHBP1	Connective tissue cell	Pericytes	Pericytes	Pericytes
PTH1R	Connective tissue cell	Pericytes	Pericytes	Pericytes
TBX18	Connective tissue cell	Pericytes	Pericytes	Pericytes
NT5E	Connective tissue cell	Pericytes	Pericytes	Pericytes
ALPL	Connective tissue cell	Pericytes	Pericytes	Pericytes
COG7	Connective tissue cell	Pericytes	Pericytes	Pericytes
P2RY14	Connective tissue cell	Pericytes	Pericytes	Pericytes
HEYL	Connective tissue cell	Pericytes	Pericytes	Pericytes
MSX1	Connective tissue cell	Pericytes	Pericytes	Pericytes
CTGF	Connective tissue cell	Pericytes	Pericytes	Pericytes
SAT2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
LAMC3	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
APOA1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
MYLIP	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
TMEM98	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
CYP1B1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
KCNMB1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
RARRES2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
GSTM3	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
RNASE1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
CILP	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
RASD1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
ALDH1A3	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
INTS6	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
EPHX1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
OSR2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
C7	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
COL15A1	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
LAMB2	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
MYH11	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
WNT2B	Epithelial cell	Meso-epithelial cell	Mesothelial cell	Peritubular myoid cells
RCVRN	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
PDC	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
NRL	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
NR2E3	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
SAG	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
RHO	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
ROM1	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
CRX	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
PDE6G	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
TPBG	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
GABRA1	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
PCBP3	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
FRMD3	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
ADAMTS5	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
RD3L	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
GABRG2	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
CNTN4	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
RNF152	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
SEBOX	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
HSPA12A	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
CNTNAP2	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
NLK	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
NTNG1	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
STX3	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
GRM6	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
STRIP2	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
RNPC3	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
VSTM2B	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
CACNA2D4	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
VSX2	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
TRNP1	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
NEUROD4	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
GNB3	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
OTX2	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
CACNA2D3	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
LIN7A	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
CCDC136	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
NDNF	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
GNG13	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
PROX1	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
GPR179	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
CABP5	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
KCNMA1	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
LRTM1	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
PRKCA	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
QPCT	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
CPLX3	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
B3GALT2	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
ISL1	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
PCP2	Neural cell	Neuron	Afferent neuron	Photoreceptor cells
ASMT	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
ADRB1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
TPH1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
SAG	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
GNGT1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
ROM1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
CRX	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
CNGB1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
CNGA1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
PDE6C	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
ADRA1B	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
DRD4	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
CHRNA3	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
CHRNB4	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
NEUROD1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
PDE6B	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
CACNA1F	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
GNG13	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
AANAT	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
PDE10A	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
PMEPA1	Epithelial cell	Ecto-epithelial cell	Secretory cell	Pinealocytes
SDC1	Hematopoietic cell	B	Plasma cells	Plasma cells
IRF4	Hematopoietic cell	B	Plasma cells	Plasma cells
CD38	Hematopoietic cell	B	Plasma cells	Plasma cells
PRDM1	Hematopoietic cell	B	Plasma cells	Plasma cells
CD93	Hematopoietic cell	B	Plasma cells	Plasma cells
CD27	Hematopoietic cell	B	Plasma cells	Plasma cells
ENPP1	Hematopoietic cell	B	Plasma cells	Plasma cells
MS4A4A	Hematopoietic cell	B	Plasma cells	Plasma cells
PIAS1	Hematopoietic cell	B	Plasma cells	Plasma cells
DIABLO	Hematopoietic cell	B	Plasma cells	Plasma cells
HTRA2	Hematopoietic cell	B	Plasma cells	Plasma cells
MS4A1	Hematopoietic cell	B	Plasma cells	Plasma cells
CD19	Hematopoietic cell	B	Plasma cells	Plasma cells
CD24	Hematopoietic cell	B	Plasma cells	Plasma cells
CD40	Hematopoietic cell	B	Plasma cells	Plasma cells
CXCR4	Hematopoietic cell	B	Plasma cells	Plasma cells
GZMB	Hematopoietic cell	B	Plasma cells	Plasma cells
TNFRSF17	Hematopoietic cell	B	Plasma cells	Plasma cells
TNFRSF13B	Hematopoietic cell	B	Plasma cells	Plasma cells
FCGR2B	Hematopoietic cell	B	Plasma cells	Plasma cells
CCR10	Hematopoietic cell	B	Plasma cells	Plasma cells
ABCB9	Hematopoietic cell	B	Plasma cells	Plasma cells
AMPD1	Hematopoietic cell	B	Plasma cells	Plasma cells
ANGPT4	Hematopoietic cell	B	Plasma cells	Plasma cells
ATXN8OS	Hematopoietic cell	B	Plasma cells	Plasma cells
C11ORF80	Hematopoietic cell	B	Plasma cells	Plasma cells
CD79A	Hematopoietic cell	B	Plasma cells	Plasma cells
DENND5B	Hematopoietic cell	B	Plasma cells	Plasma cells
EAF2	Hematopoietic cell	B	Plasma cells	Plasma cells
FCRL2	Hematopoietic cell	B	Plasma cells	Plasma cells
GNG7	Hematopoietic cell	B	Plasma cells	Plasma cells
GPR25	Hematopoietic cell	B	Plasma cells	Plasma cells
GUSBP11	Hematopoietic cell	B	Plasma cells	Plasma cells
HIST1H2AE	Hematopoietic cell	B	Plasma cells	Plasma cells
HIST1H2BG	Hematopoietic cell	B	Plasma cells	Plasma cells
HLA-DOB	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHD	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHE	Hematopoietic cell	B	Plasma cells	Plasma cells
IGLL3P	Hematopoietic cell	B	Plasma cells	Plasma cells
KCNA3	Hematopoietic cell	B	Plasma cells	Plasma cells
KCNG2	Hematopoietic cell	B	Plasma cells	Plasma cells
LIME1	Hematopoietic cell	B	Plasma cells	Plasma cells
MAN1A1	Hematopoietic cell	B	Plasma cells	Plasma cells
MANEA	Hematopoietic cell	B	Plasma cells	Plasma cells
MAST1	Hematopoietic cell	B	Plasma cells	Plasma cells
MROH7	Hematopoietic cell	B	Plasma cells	Plasma cells
MZB1	Hematopoietic cell	B	Plasma cells	Plasma cells
P2RX5	Hematopoietic cell	B	Plasma cells	Plasma cells
PAX7	Hematopoietic cell	B	Plasma cells	Plasma cells
PDK1	Hematopoietic cell	B	Plasma cells	Plasma cells
PNOC	Hematopoietic cell	B	Plasma cells	Plasma cells
RASGRP3	Hematopoietic cell	B	Plasma cells	Plasma cells
REN	Hematopoietic cell	B	Plasma cells	Plasma cells
RGS13	Hematopoietic cell	B	Plasma cells	Plasma cells
RPL3P7	Hematopoietic cell	B	Plasma cells	Plasma cells
SIK1	Hematopoietic cell	B	Plasma cells	Plasma cells
SPAG4	Hematopoietic cell	B	Plasma cells	Plasma cells
ST6GALNAC4	Hematopoietic cell	B	Plasma cells	Plasma cells
TGM5	Hematopoietic cell	B	Plasma cells	Plasma cells
TMEM156	Hematopoietic cell	B	Plasma cells	Plasma cells
UGT2B17	Hematopoietic cell	B	Plasma cells	Plasma cells
ZBP1	Hematopoietic cell	B	Plasma cells	Plasma cells
ZNF165	Hematopoietic cell	B	Plasma cells	Plasma cells
IGLC2	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHG1	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHG2	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHG3	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHGP	Hematopoietic cell	B	Plasma cells	Plasma cells
IGLC3	Hematopoietic cell	B	Plasma cells	Plasma cells
JCHAIN	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHA1	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHG4	Hematopoietic cell	B	Plasma cells	Plasma cells
IGHA2	Hematopoietic cell	B	Plasma cells	Plasma cells
IGLV3-1	Hematopoietic cell	B	Plasma cells	Plasma cells
IGLC7	Hematopoietic cell	B	Plasma cells	Plasma cells
IL16	Hematopoietic cell	B	Plasma cells	Plasma cells
BHLHA15	Hematopoietic cell	B	Plasma cells	Plasma cells
PPIB	Hematopoietic cell	B	Plasma cells	Plasma cells
CD4	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CD8A	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CD40	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CD80	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CD83	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
LILRA4	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CD86	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
IL3RA	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CCR7	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CLEC4C	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CXCR3	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
TRADD	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
ARHGAP9	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
LAMP5	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
GPR183	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
MAP3K2	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
TNFSF13B	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
PTCRA	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
ERN1	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
ETV6	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
MAP3K8	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
FAM129C	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
SPIB	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
GZMB	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CXCR4	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
PACSIN1	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
TLR7	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
TLR9	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
IRF7	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
IGLL1	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CUX2	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
MCTP2	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
KLK1	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
BLNK	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
GRM8	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
PRKCA	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
IL17RB	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CARD6	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CLEC4G	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
JCHAIN	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
MZB1	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
DERL3	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
ZFAT	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
SLC15A4	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CCR9	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
IRF5	Hematopoietic cell	Monocyte	DC	Plasmacytoid dendritic cells
CCL5	Hematopoietic cell	Myeloid cell	Platelets	Platelets
VEGFA	Hematopoietic cell	Myeloid cell	Platelets	Platelets
FCGR2A	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CD36	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ITGA2B	Hematopoietic cell	Myeloid cell	Platelets	Platelets
GP1BA	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SPN	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CD46	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ITGA2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ITGB3	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SELP	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CD69	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CD84	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CD109	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CCR3	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CD226	Hematopoietic cell	Myeloid cell	Platelets	Platelets
TNFSF14	Hematopoietic cell	Myeloid cell	Platelets	Platelets
LRRC32	Hematopoietic cell	Myeloid cell	Platelets	Platelets
LTBR	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PF4	Hematopoietic cell	Myeloid cell	Platelets	Platelets
GP5	Hematopoietic cell	Myeloid cell	Platelets	Platelets
F13A1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
THBS1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ABCC4	Hematopoietic cell	Myeloid cell	Platelets	Platelets
FERMT3	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PTCRA	Hematopoietic cell	Myeloid cell	Platelets	Platelets
TUBB1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
GP9	Hematopoietic cell	Myeloid cell	Platelets	Platelets
NCOA4	Hematopoietic cell	Myeloid cell	Platelets	Platelets
RGS18	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PPBP	Hematopoietic cell	Myeloid cell	Platelets	Platelets
HFE	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CXCR4	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CLEC1B	Hematopoietic cell	Myeloid cell	Platelets	Platelets
MPL	Hematopoietic cell	Myeloid cell	Platelets	Platelets
F5	Hematopoietic cell	Myeloid cell	Platelets	Platelets
TREML1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
P2RY12	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PRKAR2B	Hematopoietic cell	Myeloid cell	Platelets	Platelets
STX11	Hematopoietic cell	Myeloid cell	Platelets	Platelets
MFSD2B	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ALOX12	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ADGRE5	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CD40	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ERO1A	Hematopoietic cell	Myeloid cell	Platelets	Platelets
TLR4	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CRLF2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
IL1A	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SCARB1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CCR1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CCR4	Hematopoietic cell	Myeloid cell	Platelets	Platelets
F2R	Hematopoietic cell	Myeloid cell	Platelets	Platelets
NRGN	Hematopoietic cell	Myeloid cell	Platelets	Platelets
GP1BB	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CAVIN2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
MAP3K7CL	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PTGS1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
GRAP2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
MPIG6B	Hematopoietic cell	Myeloid cell	Platelets	Platelets
HIST1H3H	Hematopoietic cell	Myeloid cell	Platelets	Platelets
WIPF1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
C2ORF88	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CA2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PDZK1IP1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
AGPAT1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SMOX	Hematopoietic cell	Myeloid cell	Platelets	Platelets
HIST1H2BK	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SH3BGRL2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ATP2A3	Hematopoietic cell	Myeloid cell	Platelets	Platelets
VWF	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SLC2A3	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ARHGAP10	Hematopoietic cell	Myeloid cell	Platelets	Platelets
RTL8B	Hematopoietic cell	Myeloid cell	Platelets	Platelets
TREML2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
MMRN1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ILK	Hematopoietic cell	Myeloid cell	Platelets	Platelets
NOD2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
NOX5	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SERPINE1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
MAPK14	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ABCA3	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CXCL14	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PREX1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ATP8A1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PRKCD	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PTGS2	Hematopoietic cell	Myeloid cell	Platelets	Platelets
F7	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SLC26A4	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SLC17A9	Hematopoietic cell	Myeloid cell	Platelets	Platelets
IL33	Hematopoietic cell	Myeloid cell	Platelets	Platelets
SIRT3	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CYP2U1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
TLR1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
TLR6	Hematopoietic cell	Myeloid cell	Platelets	Platelets
BGLAP	Hematopoietic cell	Myeloid cell	Platelets	Platelets
LGALS8	Hematopoietic cell	Myeloid cell	Platelets	Platelets
CD40LG	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ANGPT1	Hematopoietic cell	Myeloid cell	Platelets	Platelets
ACKR3	Hematopoietic cell	Myeloid cell	Platelets	Platelets
PRMT8	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
NCOA5	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
TRIM32	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
PRDM14	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
FGF4	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
NANOG	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
POU5F1	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
MSH2	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
GATA2	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
ZFX	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
TERF1	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
TEX19	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
TERT	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
ZNF296	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
ALPL	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
HK2	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
SPN	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
ESRP1	Precursor cell	Stem cell	Pluripotent stem cells	Pluripotent stem cells
PODXL	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
ADAMTS13	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
LCN2	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
VEGFA	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
SLC2A4	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
NLRP3	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
SYNPO	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
NPHS1	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
NPHS2	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
LAMA3	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
FOXC2	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
WT1	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
CD80	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
DES	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
PTPRO	Epithelial cell	Kidney epithelial cell	Podocytes	Podocytes
